id,nodes,edges,type,result,avgcoeff,no_of_tri,closed_tri,diameter
1,1749955,650879710518,0,2,0.6150314888594831,1674530017627,0.10083138544949198,6
2,56423,1147460398,2,1,0.9318621088173815,69635096951,0.12548958459747403,12
3,161,6111,0,0,0.41212580173636726,502583,0.0538581124366829,11
4,9248834,2134174877682,3,3,0.5195561610311176,67656656985034,0.07792743979871453,15
5,45057,743197870,1,1,0.6215996231540725,57704910613,0.08753095131381447,5
6,807049,170087368913,2,2,0.8086040605228757,15324152901577,0.13636395636929977,19
7,6513274,3112301328287,3,3,0.9577484043248016,102737761169246,0.1302833060175234,7
8,28069,99232610,2,1,0.23493447280811008,4772954813,0.0385202790406664,17
9,4454821,8577774588326,0,3,0.19986539600601305,136779349532298,0.026343509530836032,11
10,13533,45523117,0,1,0.21184975355400892,1659901587,0.038840887028876774,7
11,75605,2313133168,2,1,0.4411383514919933,210128669689,0.06036923755400929,8
12,506,83766,3,0,0.9330879264105649,2219599,0.12122080884492642,9
13,1407811,616663573224,3,2,0.8632019272345934,57651180614571,0.10999159689222619,8
14,1958084,1915891825555,0,2,0.015876719589404176,176778390475066,0.002094844520414027,13
15,273295,7495336378,3,2,0.5554801332733573,547046717613,0.1060539361047082,15
16,66840,1364714265,2,1,0.7592238577322336,86164419253,0.1337188103526887,20
17,2079930,1848073073567,0,2,0.5048646369141371,13139050880256,0.08985382456851292,17
18,167,10218,1,0,0.45560650534722225,747163,0.06108000468911208,18
19,3206286,2700917356764,2,3,0.36810007747005746,19427463511122,0.060836392050223995,13
20,446166,67509713280,0,2,0.08048493678127122,4280555221677,0.01585147459794899,1
21,1166823,481052102690,1,2,0.32840395885826834,9488035181651,0.05314873650680801,2
22,1275,785276,2,0,0.06130378702782535,54031352,0.011911573156214968,20
23,9893668,23118198139053,1,3,0.4615383478098287,1406421430115861,0.06950647424286006,20
24,7339415,7719615037582,2,3,0.24509563171677495,521906088026016,0.042723228427036505,16
25,3710212,3177298076424,2,3,0.8005074471727281,295439553411125,0.13105710356684835,4
26,915,22797,0,0,0.29497274632369286,2034784,0.05333994819656915,15
27,119338,5045352410,1,2,0.8500359718993815,241291158772,0.12479751737755296,19
28,28147,330091877,1,1,0.4417199011070285,12465572168,0.08134974323302585,8
29,8256293,20571046449626,3,3,0.719736532808113,2009925287769951,0.11599477492117764,9
30,221305,6655875183,1,2,0.1220197643941493,592909061955,0.01688351196701737,20
31,643,73117,2,0,0.04961931537156694,3662472,0.008525750628997067,5
32,858626,65165902798,1,2,0.03776425868194555,554007058029,0.007171881309866661,11
33,3487,4598272,0,0,0.8203426787639164,390916743,0.11795543018182801,18
34,579206,148332758347,0,2,0.1616125393684953,10041691411185,0.024408167806689796,3
35,2871601,2970224903128,1,3,0.2866826658628112,187616792684253,0.04319646164048667,6
36,4288,5189490,0,0,0.7492526577672268,215310461,0.10395960879142184,10
37,82510,1847282845,0,1,0.41183117195393437,177242414756,0.05203601227610733,3
38,6089562,5842752656129,0,3,0.3324637289134119,233453141318011,0.06175098774129033,13
39,264,10361,2,0,0.5532362407671331,322888,0.08349393483632361,14
40,81993,1569965826,0,1,0.7487338483253264,29939730368,0.11187427150953702,15
41,8957234,1716162246931,1,3,0.26975669836931104,61750587903070,0.03704208599127005,16
42,4621367,5322953996703,0,3,0.6597952462673844,284070683264882,0.11947294831004988,9
43,3041,1506674,3,0,0.12615600834238183,105166800,0.01800827602314255,16
44,874,71669,2,0,0.830060646097227,3313363,0.1445455436077869,10
45,4308,6681036,1,0,0.02381478931322567,183576260,0.003437032052252514,11
46,2578,1910394,3,0,0.9628428956541167,139110310,0.16258146606028526,13
47,5733043,9999553693113,1,3,0.29937781679506814,421436586898436,0.04079731353375938,20
48,21783,229106191,1,1,0.4784427867574923,525369298,0.07689350616137534,17
49,49289,360382619,0,1,0.26193970147976986,2670168067,0.03757945132670702,13
50,1840200,1166949213966,3,2,0.5553629091659537,84874567502551,0.09897430221308007,1
51,2274848,795124919712,2,2,0.19185852078618437,55425150388833,0.02426438666833292,10
52,1414448,801490797650,1,2,0.38836981277620963,28841196866031,0.0739722566841161,18
53,3291,574049,2,0,0.5915191884026811,50897823,0.09162100557793873,14
